% energy,cross section
1.00E-05,78.1071
1.06E-05,75.78241
1.13E-05,73.65446
1.19E-05,71.69699
1.25E-05,69.88841
1.38E-05,66.64899
1.50E-05,63.82401
1.63E-05,61.33209
1.75E-05,59.11261
1.88E-05,57.11934
2.00E-05,55.31635
2.19E-05,52.90801
2.38E-05,50.79144
2.56E-05,48.91221
2.75E-05,47.2291
2.94E-05,45.71027
3.13E-05,44.33068
3.31E-05,43.07031
3.50E-05,41.91297
3.88E-05,39.85654
4.25E-05,38.07971
4.63E-05,36.52453
5.00E-05,35.1486
5.31E-05,34.11564
5.63E-05,33.17046
5.94E-05,32.30135
6.25E-05,31.49865
6.88E-05,30.06174
7.50E-05,28.80963
8.13E-05,27.706
8.75E-05,26.72379
9.38E-05,25.84239
1.00E-04,25.04572
1.06E-04,24.32113
1.13E-04,23.65844
1.19E-04,23.04936
1.25E-04,22.4871
1.38E-04,21.48131
1.50E-04,20.60571
1.63E-04,19.83468
1.75E-04,19.14913
1.88E-04,18.53451
2.00E-04,17.97952
2.19E-04,17.23976
2.38E-04,16.5913
2.56E-04,16.01702
2.75E-04,15.50399
2.94E-04,15.04221
3.13E-04,14.62383
3.31E-04,14.24257
3.50E-04,13.89336
3.88E-04,13.27517
4.25E-04,12.74371
4.63E-04,12.28086
5.00E-04,11.87338
5.31E-04,11.56886
5.63E-04,11.29136
5.94E-04,11.03723
6.25E-04,10.80347
6.88E-04,10.38751
7.50E-04,10.02794
8.13E-04,9.71352
8.75E-04,9.43589
9.38E-04,9.18868
0.001,8.96696
0.00106,8.76684
0.00113,8.5852
0.00119,8.41951
0.00125,8.26769
0.00138,7.99906
0.0015,7.76857
0.00163,7.56848
0.00175,7.39305
0.00188,7.23792
0.002,7.09972
0.00219,6.91851
0.00238,6.7627
0.00256,6.62729
0.00275,6.50852
0.00294,6.4035
0.00313,6.30999
0.00331,6.22619
0.0035,6.15069
0.00388,6.02012
0.00425,5.91121
0.00463,5.81904
0.005,5.74006
0.00531,5.68242
0.00563,5.63096
0.00594,5.58474
0.00625,5.54301
0.00688,5.47067
0.0075,5.41016
0.00813,5.35883
0.00875,5.31474
0.00938,5.27648
0.01,5.24297
0.01063,5.21339
0.01125,5.18707
0.01188,5.16352
0.0125,5.14232
0.01375,5.10568
0.015,5.07515
0.01625,5.04931
0.0175,5.02716
0.01875,5.00796
0.02,4.99117
0.02133,4.97551
0.02265,4.96169
0.02398,4.94939
0.0253,4.93838
0.02684,4.92693
0.02839,4.91672
0.03148,4.89931
0.03456,4.885
0.03765,4.87305
0.04074,4.8629
0.04383,4.85419
0.04691,4.84662
0.05,4.83999
0.05313,4.83406
0.05625,4.82879
0.05938,4.82407
0.0625,4.81983
0.06875,4.8125
0.075,4.80639
0.08125,4.80122
0.0875,4.79679
0.09375,4.79295
0.1,4.78959
0.10625,4.78663
0.1125,4.78399
0.11875,4.78164
0.125,4.77951
0.1375,4.77585
0.15,4.7728
0.1625,4.77021
0.175,4.768
0.1875,4.76608
0.2,4.7644
0.21875,4.76224
0.2375,4.76042
0.25625,4.75887
0.275,4.75752
0.29375,4.75635
0.3125,4.75533
0.33125,4.75441
0.35,4.7536
0.3875,4.7522
0.425,4.75106
0.5,4.74928
0.625,4.74726
0.75,4.74592
0.875,4.74496
1,4.74424
1.25,4.74323
1.5,4.74255
1.75,4.74207
2,4.74171
2.375,4.74131
2.75,4.74102
3.125,4.7408
3.5,4.74062
4.25,4.74037
5,4.74019
6.25,4.73998
7.5,4.73984
8.75,4.73974
10,4.73966
12.5,4.73955
15,4.73947
17.5,4.73941
20,4.73936
23.75,4.7393
27.5,4.73926
31.25,4.73922
35,4.73918
42.5,4.73912
50,4.73907
62.5,4.73899
75,4.73892
87.5,4.73885
100,4.73879
125,4.73866
150,4.73854
175,4.73842
200,4.7383
237.5,4.73812
275,4.73795
312.5,4.73777
350,4.7376
425,4.73725
500,4.7369
625,4.73632
750,4.73574
875,4.73516
1000,4.73459
1250,4.73343
1500,4.73227
1750,4.73112
2000,4.72996
2750,4.7265
3500,4.72303
4250,4.71957
5000,4.7161
6250,4.71185
7500,4.7076
8750,4.70335
10000,4.6991
12500,4.6906
15000,4.6821
17500,4.6737
20000,4.6653
21000.01,4.66196
22500,4.65695
25000,4.6486
27500,4.64025
30000,4.6319
32500,4.62365
35000,4.6154
39999.99,4.5989
40000.01,4.5989
45000,4.5825
50000,4.5662
59999.99,4.5342
60000.01,4.5342
62500,4.5262
68750,4.5062
75000,4.4862
87500,4.4473
96999.99,4.41774
97000.01,4.41774
100000,4.4084
106250,4.38883
112500,4.36925
125000,4.3301
130000,4.3148
135000,4.3012
140000,4.28911
142500,4.28481
145000,4.28384
150000,4.34028
151000,4.394
152000,4.47616
152900,4.51949
154000,4.45428
155000,4.3734
156000,4.32128
158000,4.27114
160000,4.24844
165000,4.22041
170000,4.20211
175000,4.1861
180000,4.1712
199999.9,4.1159
200000.1,4.1159
225000,4.0484
250000,3.9828
275000,3.9182
300000,3.8551
325000,3.7937
350000,3.7338
375000,3.6753
400000,3.6182
425000,3.5626
450000,3.5082
475000,3.4551
500000,3.4033
525000,3.3527
550000,3.3032
575000,3.2549
