%energy,cross section
1.00E-05,5720.41804
1.03E-05,5630.38943
1.07E-05,5541.81679
1.10E-05,5454.59954
1.14E-05,5368.79119
1.17E-05,5284.29746
1.21E-05,5201.16716
1.25E-05,5119.31185
1.29E-05,5038.77605
1.33E-05,4959.47672
1.37E-05,4881.45448
1.42E-05,4804.63127
1.46E-05,4729.04417
1.51E-05,4654.61971
1.56E-05,4581.39177
1.61E-05,4509.29113
1.66E-05,4438.34873
1.71E-05,4368.49932
1.77E-05,4299.77114
1.83E-05,4232.10262
1.89E-05,4165.51956
1.95E-05,4099.96381
2.01E-05,4035.45894
2.07E-05,3971.94995
2.14E-05,3909.45841
2.21E-05,3847.93225
2.28E-05,3787.39121
2.35E-05,3727.78594
2.43E-05,3669.13451
2.51E-05,3611.39014
2.59E-05,3554.56935
2.67E-05,3498.62775
2.76E-05,3443.58045
2.85E-05,3389.38531
2.94E-05,3336.05616
3.03E-05,3283.55292
3.13E-05,3231.88828
3.23E-05,3181.0241
3.34E-05,3130.97201
3.45E-05,3081.6957
3.56E-05,3033.20583
3.67E-05,2985.46779
3.79E-05,2938.49136
3.91E-05,2892.24354
4.04E-05,2846.73332
4.17E-05,2801.92918
4.30E-05,2757.83938
4.44E-05,2714.43382
4.58E-05,2671.7201
4.73E-05,2629.66945
4.88E-05,2588.28885
5.04E-05,2547.55078
5.20E-05,2507.46167
5.37E-05,2467.99519
5.54E-05,2429.15725
5.72E-05,2390.92264
5.91E-05,2353.29681
6.10E-05,2316.25559
6.29E-05,2279.80401
6.50E-05,2243.9189
6.71E-05,2208.60491
6.92E-05,2173.83981
7.15E-05,2139.62788
7.38E-05,2105.9478
7.61E-05,2072.80352
7.86E-05,2040.17456
8.11E-05,2008.06459
8.37E-05,1976.45393
8.64E-05,1945.34596
8.92E-05,1914.72177
9.21E-05,1884.58451
9.51E-05,1854.916
9.81E-05,1825.71913
1.01E-04,1796.97243
1.05E-04,1768.69057
1.08E-04,1740.84112
1.11E-04,1713.44146
1.15E-04,1686.4612
1.19E-04,1659.9162
1.23E-04,1633.77796
1.26E-04,1608.06095
1.31E-04,1582.7384
1.35E-04,1557.82352
1.39E-04,1533.29115
1.44E-04,1509.15336
1.48E-04,1485.38647
1.53E-04,1462.0015
1.58E-04,1438.97616
1.63E-04,1416.32049
1.68E-04,1394.01351
1.74E-04,1372.06437
1.79E-04,1350.45328
1.85E-04,1329.1886
1.91E-04,1308.25164
1.97E-04,1287.65004
2.04E-04,1267.36612
2.10E-04,1247.40688
2.17E-04,1227.75558
2.24E-04,1208.41862
2.31E-04,1189.38015
2.39E-04,1170.64603
2.46E-04,1152.20122
2.54E-04,1134.05109
2.62E-04,1116.18136
2.71E-04,1098.59696
2.79E-04,1081.28433
2.88E-04,1064.24797
2.98E-04,1047.47499
3.07E-04,1030.96952
3.17E-04,1014.71931
3.28E-04,998.72814
3.38E-04,982.98432
3.49E-04,967.49134
3.60E-04,952.23807
3.72E-04,937.22769
3.84E-04,922.4496
3.96E-04,907.90671
4.09E-04,893.58891
4.22E-04,879.49887
4.36E-04,865.62694
4.50E-04,851.97557
4.64E-04,838.53552
4.79E-04,825.30907
4.95E-04,812.28737
5.11E-04,799.47251
5.27E-04,786.85603
5.44E-04,774.43985
5.62E-04,762.21588
5.80E-04,750.18587
5.98E-04,738.34208
6.18E-04,726.68612
6.38E-04,715.21056
6.58E-04,703.9169
6.79E-04,692.79799
7.01E-04,681.85523
7.24E-04,671.08177
7.47E-04,660.47887
7.71E-04,650.03997
7.96E-04,639.76624
8.22E-04,629.65135
8.48E-04,619.69641
8.76E-04,609.89533
9.04E-04,600.24911
9.33E-04,590.75193
9.63E-04,581.40469
9.94E-04,572.20179
0.00103,563.14408
0.00106,554.22616
0.00109,545.44881
0.00113,536.80682
0.00116,528.30094
0.0012,519.92613
0.00124,511.68309
0.00128,503.56697
0.00132,495.5784
0.00136,487.71272
0.00141,479.97051
0.00145,472.34727
0.0015,464.84355
0.00155,457.45499
0.0016,450.18211
0.00165,443.0207
0.0017,435.97124
0.00176,429.02967
0.00182,422.19643
0.00187,415.4676
0.00193,408.84358
0.002,402.32059
0.00206,395.89901
0.00213,389.57516
0.0022,383.34941
0.00227,377.21821
0.00234,371.18189
0.00242,365.23701
0.00249,359.38388
0.00257,353.61918
0.00266,347.9432
0.00274,342.35271
0.00283,336.84799
0.00292,331.42591
0.00302,326.08672
0.00311,320.8274
0.00321,315.64818
0.00332,310.54613
0.00342,305.52145
0.00353,300.57131
0.00365,295.6959
0.00377,290.89245
0.00389,286.16115
0.00401,281.49931
0.00414,276.9071
0.00428,272.38192
0.00441,267.92391
0.00456,263.53058
0.0047,259.20205
0.00485,254.93591
0.00501,250.73228
0.00517,246.58883
0.00534,242.50569
0.00551,238.4806
0.00569,234.51369
0.00587,230.60279
0.00606,226.74802
0.00626,222.94726
0.00646,219.20066
0.00667,215.50615
0.00688,211.86387
0.0071,208.27193
0.00733,204.7303
0.00757,201.23717
0.00781,197.79272
0.00806,194.39514
0.00832,191.04463
0.00859,187.7395
0.00887,184.47999
0.00915,181.26449
0.00945,178.09329
0.00973,175.17231
0.01003,172.28851
0.01033,169.44147
0.01064,166.63075
0.01096,163.85597
