% energy,cross section
1.00E-05,30922.5357
1.03E-05,30435.8647
1.07E-05,29957.0642
1.10E-05,29485.5904
1.14E-05,29021.7326
1.17E-05,28564.9812
1.21E-05,28115.5999
1.25E-05,27673.1108
1.29E-05,27237.7546
1.33E-05,26809.0821
1.37E-05,26387.3132
1.42E-05,25972.0258
1.46E-05,25563.4204
1.51E-05,25161.0997
1.56E-05,24765.247
1.61E-05,24375.488
1.66E-05,23991.99
1.71E-05,23614.4003
1.77E-05,23242.8716
1.83E-05,22877.0709
1.89E-05,22517.1379
1.95E-05,22162.7581
2.01E-05,21814.0589
2.07E-05,21470.743
2.14E-05,21132.9271
2.21E-05,20800.3296
2.28E-05,20473.0573
2.35E-05,20150.8434
2.43E-05,19833.7855
2.51E-05,19521.6308
2.59E-05,19214.4686
2.67E-05,18912.059
2.76E-05,18614.4836
2.85E-05,18321.5145
2.94E-05,18033.2266
3.03E-05,17749.4033
3.13E-05,17470.1131
3.23E-05,17195.1498
3.34E-05,16924.5763
3.45E-05,16658.1963
3.56E-05,16396.0674
3.67E-05,16138.0026
3.79E-05,15884.0547
3.91E-05,15634.0454
4.04E-05,15388.0231
4.17E-05,15145.8176
4.30E-05,14907.4735
4.44E-05,14672.8281
4.58E-05,14441.9224
4.73E-05,14214.6009
4.88E-05,13990.9014
5.04E-05,13770.6751
5.20E-05,13553.9568
5.37E-05,13340.604
5.54E-05,13130.6489
5.72E-05,12923.955
5.91E-05,12720.5518
6.10E-05,12520.3088
6.29E-05,12323.2531
6.50E-05,12129.2594
6.71E-05,11938.3528
6.92E-05,11750.4133
7.15E-05,11565.4638
7.38E-05,11383.3893
7.61E-05,11204.211
7.86E-05,11027.8183
8.11E-05,10854.2309
8.37E-05,10683.3424
8.64E-05,10515.1713
8.92E-05,10349.6152
9.21E-05,10186.6911
9.51E-05,10026.3008
9.81E-05,9868.45992
1.01E-04,9713.05237
1.05E-04,9560.15752
1.08E-04,9409.59996
1.11E-04,9261.47374
1.15E-04,9115.61452
1.19E-04,8972.10808
1.23E-04,8830.80029
1.26E-04,8691.76941
1.31E-04,8554.87075
1.35E-04,8420.17571
1.39E-04,8287.54831
1.44E-04,8157.05373
1.48E-04,8028.56403
1.53E-04,7902.13875
1.58E-04,7777.65739
1.63E-04,7655.17431
1.68E-04,7534.57596
1.74E-04,7415.91197
1.79E-04,7299.07521
1.85E-04,7184.11102
1.91E-04,7070.91822
1.97E-04,6959.53826
2.04E-04,6849.87548
2.10E-04,6741.96777
2.17E-04,6635.72461
2.24E-04,6531.18067
2.31E-04,6428.25021
2.39E-04,6326.96492
2.46E-04,6227.24355
2.54E-04,6129.11509
2.62E-04,6032.50244
2.71E-04,5937.43215
2.79E-04,5843.83099
2.88E-04,5751.72328
2.98E-04,5661.03941
3.07E-04,5571.80168
3.17E-04,5483.94385
3.28E-04,5397.48637
3.38E-04,5312.36618
3.49E-04,5228.60202
3.60E-04,5146.13382
3.72E-04,5064.97877
3.84E-04,4985.07958
3.96E-04,4906.45205
4.09E-04,4829.04149
4.22E-04,4752.86243
4.36E-04,4677.86263
4.50E-04,4604.05545
4.64E-04,4531.39097
4.79E-04,4459.88148
4.95E-04,4389.47923
5.11E-04,4320.19553
5.27E-04,4251.98472
5.44E-04,4184.85718
5.62E-04,4118.7692
5.80E-04,4053.73035
5.98E-04,3989.69875
6.18E-04,3926.68323
6.38E-04,3864.64363
6.58E-04,3803.58811
6.79E-04,3743.47815
7.01E-04,3684.32129
7.24E-04,3626.08056
7.47E-04,3568.76291
7.71E-04,3512.33288
7.96E-04,3456.79689
8.22E-04,3402.12085
8.48E-04,3348.31074
8.76E-04,3295.33378
9.04E-04,3243.19551
9.33E-04,3191.86443
9.63E-04,3141.34567
9.94E-04,3091.60893
0.00103,3042.65898
0.00106,2994.46666
0.00109,2947.03641
0.00113,2900.34016
0.00116,2854.38204
0.0012,2809.13503
0.00124,2764.60297
0.00128,2720.75984
0.00132,2677.60922
0.00136,2635.12604
0.00141,2593.31364
0.00145,2552.14786
0.0015,2511.63184
0.00155,2471.74227
0.0016,2432.4821
0.00165,2393.82885
0.0017,2355.78528
0.00176,2318.32974
0.00182,2281.46479
0.00187,2245.16956
0.00193,2209.44646
0.002,2174.27534
0.00206,2139.65849
0.00213,2105.57646
0.0022,2072.03143
0.00227,2039.0046
0.00234,2006.49804
0.00242,1974.49363
0.00249,1942.99331
0.00257,1911.9796
0.00266,1881.45434
0.00274,1851.40067
0.00283,1821.82032
0.00292,1792.69701
