%energy,cross section
6.49748,0.61316
6.49937,0.63231
6.50104,0.65319
6.50247,0.67453
6.50391,0.69919
6.50535,0.72743
6.50675,0.75863
6.50811,0.79276
6.50947,0.83091
6.51083,0.87337
6.51214,0.91842
6.51338,0.9658
6.51463,1.01766
6.51588,1.07433
6.51734,1.14698
6.51893,1.23492
6.52044,1.32784
6.52195,1.43052
6.52346,1.5438
6.52482,1.65559
6.52603,1.76342
6.52724,1.87978
6.52846,2.00527
6.52959,2.13178
6.53118,2.3244
6.53277,2.53664
6.53435,2.7703
6.53594,3.02737
6.53753,3.30998
6.53874,3.54388
6.53995,3.79507
6.54116,4.06472
6.54237,4.35408
6.54388,4.74552
6.5454,5.17259
6.54691,5.63825
6.54842,6.14568
6.54994,6.69829
6.55145,7.29969
6.55296,7.95376
6.55447,8.6646
6.55584,9.35654
6.5572,10.10137
6.55856,10.90265
6.55992,11.7641
6.56128,12.68964
6.56264,13.68334
6.564,14.74946
6.56537,15.89245
6.56673,17.11695
6.56809,18.42772
6.56953,19.91042
6.57111,21.67477
6.5727,23.57913
6.57429,25.63219
6.57588,27.84288
6.57747,30.22032
6.57906,32.7739
6.58064,35.51299
6.58223,38.44717
6.58382,41.586
6.58541,44.93907
6.587,48.51587
6.58859,52.32574
6.59017,56.37778
6.59229,62.17254
6.59441,68.43342
6.59653,75.17887
6.59864,82.42523
6.60076,90.18665
6.60288,98.47445
6.605,107.29696
6.60712,116.65874
6.60923,126.56057
6.61238,142.25994
6.61547,158.77606
6.61855,176.34646
6.6223,199.01123
6.62684,228.0737
6.63289,268.85765
6.64378,343.71268
6.64862,375.362
6.65347,404.61308
6.65589,418.03137
6.66024,439.68893
6.66351,453.51838
6.66666,464.64621
6.66992,473.75066
6.67389,481.25632
6.67743,484.54242
6.67985,484.92541
6.68293,483.22579
6.68638,478.49003
6.69001,470.41451
6.69364,459.38778
6.69727,445.68998
6.7009,429.64919
6.70574,405.24812
6.71058,378.24663
6.71785,334.89888
6.72692,279.87901
6.73312,244.00458
6.73706,222.5902
6.74099,202.45215
6.74492,183.72368
6.7484,168.39529
6.75143,156.03146
6.75445,144.56463
6.75748,133.98058
6.7605,124.25435
6.76353,115.35232
6.76656,107.23417
6.76958,99.85467
6.77261,93.16535
6.77563,87.11596
6.77866,81.65576
6.78168,76.73457
6.78471,72.30355
6.78773,68.31598
6.79076,64.72768
6.79378,61.49735
6.79711,58.31196
6.80074,55.224
6.80437,52.4876
